$\log X_0 = \log X_1$, $M_0$, $m_0$
$20  $ , $ 4.2676 \cdot 10^{-5 } $ , $ 9.1639 \cdot 10^{-5} $ 
$21  $ , $ 2.5884 \cdot 10^{-5 } $ , $ 5.5407 \cdot 10^{-5} $ 
$22  $ , $ 1.5700 \cdot 10^{-5 } $ , $ 3.3517 \cdot 10^{-5} $ 
$23  $ , $ 9.5223 \cdot 10^{-6 } $ , $ 2.0285 \cdot 10^{-5} $ 
$24  $ , $ 5.7756 \cdot 10^{-6 } $ , $ 1.2281 \cdot 10^{-5} $ 
$25  $ , $ 3.5031 \cdot 10^{-6 } $ , $ 7.4366 \cdot 10^{-6} $ 
$26  $ , $ 2.1247 \cdot 10^{-6 } $ , $ 4.5046 \cdot 10^{-6} $ 
$27  $ , $ 1.2887 \cdot 10^{-6 } $ , $ 2.7292 \cdot 10^{-6} $ 
$28  $ , $ 7.8164 \cdot 10^{-7 } $ , $ 1.6538 \cdot 10^{-6} $ 
$29  $ , $ 4.7409 \cdot 10^{-7 } $ , $ 1.0023 \cdot 10^{-6} $ 
$30  $ , $ 2.8755 \cdot 10^{-7 } $ , $ 6.0751 \cdot 10^{-7} $ 
$31  $ , $ 1.7441 \cdot 10^{-7 } $ , $ 3.6827 \cdot 10^{-7} $ 
$32  $ , $ 1.0578 \cdot 10^{-7 } $ , $ 2.2327 \cdot 10^{-7} $ 
$33  $ , $ 6.4161 \cdot 10^{-8 } $ , $ 1.3537 \cdot 10^{-7} $ 
$34  $ , $ 3.8915 \cdot 10^{-8 } $ , $ 8.2073 \cdot 10^{-8} $ 
$35  $ , $ 2.3603 \cdot 10^{-8 } $ , $ 4.9766 \cdot 10^{-8} $ 
$36  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 3.5199 \cdot 10^{-8} $ 
$37  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 2.8955 \cdot 10^{-8} $ 
$38  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 2.5169 \cdot 10^{-8} $ 
$39  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 2.2874 \cdot 10^{-8} $ 
$40  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 2.1482 \cdot 10^{-8} $ 
$41  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 2.0638 \cdot 10^{-8} $ 
$42  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 2.0127 \cdot 10^{-8} $ 
$43  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 1.9816 \cdot 10^{-8} $ 
$19\log10  $ , $ 1.9338 \cdot 10^{-8 } $ , $ 1.9667 \cdot 10^{-8} $ 
$44  $ , $ 1.7200 \cdot 10^{-8 } $ , $ 1.7490 \cdot 10^{-8} $ 
$45 $ , $ 1.0907 \cdot 10^{-8 } $ , $ 1.1084 \cdot 10^{-8} $ 
$46  $ , $ 6.9451 \cdot 10^{-9 } $ , $ 7.0518 \cdot 10^{-9} $ 
$47  $ , $ 4.4012 \cdot 10^{-9 } $ , $ 4.4660 \cdot 10^{-9} $ 
$48  $ , $ 2.7914 \cdot 10^{-9 } $ , $ 2.8307 \cdot 10^{-9} $ 
$49 $ , $ 1.7689 \cdot 10^{-9 } $ , $ 1.7927 \cdot 10^{-9} $ 
$50  $ , $ 1.1199 \cdot 10^{-9 } $ , $ 1.1344 \cdot 10^{-9} $ 
$51  $ , $ 7.0924 \cdot 10^{-10 } $ , $ 7.1800 \cdot 10^{-10} $ 
$52  $ , $ 4.4781 \cdot 10^{-10 } $ , $ 4.5312 \cdot 10^{-10} $ 
$53  $ , $ 2.8280 \cdot 10^{-10 } $ , $ 2.8602 \cdot 10^{-10} $ 
$54  $ , $ 1.7846 \cdot 10^{-10 } $ , $ 1.8041 \cdot 10^{-10} $ 
$55  $ , $ 1.1255 \cdot 10^{-10 } $ , $ 1.1374 \cdot 10^{-10} $ 
$56  $ , $ 7.0928 \cdot 10^{-11 } $ , $ 7.1647 \cdot 10^{-11} $ 
$57  $ , $ 4.4655 \cdot 10^{-11 } $ , $ 4.5091 \cdot 10^{-11} $ 
$58  $ , $ 2.8328 \cdot 10^{-11 } $ , $ 2.8593 \cdot 10^{-11} $ 
$59  $ , $ 1.8440 \cdot 10^{-11 } $ , $ 1.8601 \cdot 10^{-11} $ 
$60  $ , $ 1.2215 \cdot 10^{-11 } $ , $ 1.2312 \cdot 10^{-11} $ 
$65  $ , $ 3.5713 \cdot 10^{-12 } $ , $ 3.5793 \cdot 10^{-12} $ 
$70  $ , $ 2.7923 \cdot 10^{-12 } $ , $ 2.7930 \cdot 10^{-12} $ 
$75  $ , $ 2.7036 \cdot 10^{-12 } $ , $ 2.7037 \cdot 10^{-12} $ 
$80  $ , $ 2.6108 \cdot 10^{-12 } $ , $ 2.6108 \cdot 10^{-12} $ 
$85  $ , $ 2.5692 \cdot 10^{-12 } $ , $ 2.5693 \cdot 10^{-12} $ 
$90  $ , $ 2.5213 \cdot 10^{-12 } $ , $ 2.5213 \cdot 10^{-12} $ 
$95  $ , $ 2.4919 \cdot 10^{-12 } $ , $ 2.4920 \cdot 10^{-12} $ 
$100 $ , $ 2.4530 \cdot 10^{-12 } $ , $ 2.4530 \cdot 10^{-12} $ 
$200 $ , $ 2.1815 \cdot 10^{-12 } $ , $ 2.1816 \cdot 10^{-12} $ 
$300 $ , $ 2.0902 \cdot 10^{-12 } $ , $ 2.0903 \cdot 10^{-12} $ 
$400 $ , $ 2.0398 \cdot 10^{-12 } $ , $ 2.0399 \cdot 10^{-12} $ 
$500 $ , $ 1.9999 \cdot 10^{-12 } $ , $ 1.9999 \cdot 10^{-12} $ 
$600 $ , $ 1.9889 \cdot 10^{-12 } $ , $ 1.9890 \cdot 10^{-12} $ 
$700 $ , $ 1.9764 \cdot 10^{-12 } $ , $ 1.9765 \cdot 10^{-12} $ 
$800 $ , $ 1.9671 \cdot 10^{-12 } $ , $ 1.9671 \cdot 10^{-12} $ 
$900 $ , $ 1.9599 \cdot 10^{-12 } $ , $ 1.9599 \cdot 10^{-12} $ 
$1000 $ , $ 1.9475 \cdot 10^{-12 } $ , $ 1.9476 \cdot 10^{-12} $ 
$1500 $ , $ 1.9368 \cdot 10^{-12 } $ , $ 1.9368 \cdot 10^{-12} $ 
$1600 $ , $ 1.9292 \cdot 10^{-12 } $ , $ 1.9293 \cdot 10^{-12} $ 
$1700 $ , $ 1.9273 \cdot 10^{-12 } $ , $ 1.9274 \cdot 10^{-12} $ 
$1725  $ , $ 1.9269 \cdot 10^{-12 } $ , $ 1.9269 \cdot 10^{-12} $ 
$1750  $ , $ 1.9265 \cdot 10^{-12 } $ , $ 1.9265 \cdot 10^{-12} $ 
$1775  $ , $ 1.9260 \cdot 10^{-12 } $ , $ 1.9261 \cdot 10^{-12} $ 
$1800 $ , $ 1.9256 \cdot 10^{-12 } $ , $ 1.9257 \cdot 10^{-12} $ 
$1825  $ , $ 1.9253 \cdot 10^{-12 } $ , $ 1.9253 \cdot 10^{-12} $ 
